10/7/2021,5:14:55 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/7/2021,5:14:55 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/7/2021,5:14:27 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (512) The database engine 5.02.3790.1830 started.
10/7/2021,2:33:29 PM,ESENT,Information,General ,101,N/A,ALPHA,lsass (512) The database engine stopped.
10/7/2021,2:24:20 PM,ESENT,Information,General ,101,N/A,ALPHA,svchost (980) The database engine stopped.
10/7/2021,2:22:35 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/7/2021,2:22:35 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/7/2021,2:18:51 PM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
10/7/2021,2:18:47 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (192) The database engine 5.02.3790.1830 started.
10/7/2021,2:18:47 PM,ESENT,Information,General ,100,N/A,ALPHA,svchost (980) The database engine 5.02.3790.1830 started.
10/7/2021,2:18:35 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/7/2021,2:18:35 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/7/2021,2:18:35 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
10/7/2021,2:18:34 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/7/2021,2:18:34 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/7/2021,2:18:05 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (512) The database engine 5.02.3790.1830 started.
10/6/2021,8:34:08 PM,ESENT,Information,General ,101,N/A,ALPHA,lsass (512) The database engine stopped.
10/6/2021,8:27:20 PM,Application Hang,Error,(101),1002,N/A,ALPHA,"Hanging application mmc.exe, version 5.2.3790.1830, hang module hungapp, version 0.0.0.0, hang address 0x00000000."
10/6/2021,6:43:55 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/6/2021,6:43:55 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/6/2021,6:40:12 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (260) The database engine 5.02.3790.1830 started.
10/6/2021,6:39:55 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/6/2021,6:39:55 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/6/2021,6:39:55 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
10/6/2021,6:39:54 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/6/2021,6:39:54 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/6/2021,6:39:25 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (512) The database engine 5.02.3790.1830 started.
10/6/2021,6:37:22 PM,ESENT,Information,General ,101,N/A,ALPHA,lsass (512) The database engine stopped.
10/6/2021,6:34:09 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/6/2021,6:34:09 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/6/2021,6:30:26 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (212) The database engine 5.02.3790.1830 started.
10/6/2021,6:30:09 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/6/2021,6:30:09 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/6/2021,6:30:08 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
10/6/2021,6:30:08 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/6/2021,6:30:08 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/6/2021,6:29:40 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (512) The database engine 5.02.3790.1830 started.
10/6/2021,5:45:44 PM,ESENT,Information,General ,101,N/A,ALPHA,lsass (512) The database engine stopped.
10/6/2021,4:38:25 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/6/2021,4:38:25 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/6/2021,4:34:42 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (188) The database engine 5.02.3790.1830 started.
10/6/2021,4:34:40 PM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
10/6/2021,4:34:25 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/6/2021,4:34:25 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/6/2021,4:34:25 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
10/6/2021,4:34:24 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/6/2021,4:34:24 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/6/2021,4:33:55 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (512) The database engine 5.02.3790.1830 started.
10/4/2021,7:38:39 PM,ESENT,Information,General ,101,N/A,ALPHA,lsass (512) The database engine stopped.
10/4/2021,7:05:38 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/4/2021,7:05:38 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/4/2021,7:01:55 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (224) The database engine 5.02.3790.1830 started.
10/4/2021,7:01:38 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/4/2021,7:01:38 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/4/2021,7:01:38 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
10/4/2021,7:01:37 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/4/2021,7:01:37 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/4/2021,7:01:08 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (512) The database engine 5.02.3790.1830 started.
10/4/2021,6:59:02 PM,ESENT,Information,General ,101,N/A,ALPHA,lsass (512) The database engine stopped.
10/4/2021,6:25:06 PM,ESENT,Information,General ,101,N/A,ALPHA,svchost (968) The database engine stopped.
10/4/2021,6:23:21 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/4/2021,6:23:21 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/4/2021,6:20:25 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/4/2021,6:20:24 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/4/2021,6:19:38 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (216) The database engine 5.02.3790.1830 started.
10/4/2021,6:19:37 PM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
10/4/2021,6:19:33 PM,ESENT,Information,General ,100,N/A,ALPHA,svchost (968) The database engine 5.02.3790.1830 started.
10/4/2021,6:19:21 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/4/2021,6:19:21 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/4/2021,6:19:21 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
10/4/2021,6:19:21 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/4/2021,6:19:21 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/4/2021,6:18:52 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (512) The database engine 5.02.3790.1830 started.
11/4/2009,8:19:23 PM,ESENT,Information,General ,101,N/A,ALPHA,lsass (1352) The database engine stopped.
11/4/2009,4:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/4/2009,4:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/4/2009,10:01:52 AM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
11/4/2009,10:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/4/2009,10:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/4/2009,3:45:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/4/2009,3:45:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,9:30:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,9:30:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,5:56:45 PM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
11/3/2009,3:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,3:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,9:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,9:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,2:45:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,2:45:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/3/2009,1:51:37 AM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
11/2/2009,8:30:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/2/2009,8:30:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/2/2009,2:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/2/2009,2:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/2/2009,9:46:30 AM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
11/2/2009,8:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/2/2009,8:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/2/2009,1:45:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/2/2009,1:45:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/1/2009,7:30:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/1/2009,7:30:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/1/2009,5:41:22 PM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
11/1/2009,1:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/1/2009,1:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/1/2009,7:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/1/2009,7:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/1/2009,1:36:15 AM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
11/1/2009,12:45:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
11/1/2009,12:45:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/31/2009,6:30:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/31/2009,6:30:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/31/2009,12:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/31/2009,12:15:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/31/2009,9:31:08 AM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
10/31/2009,6:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/31/2009,6:00:43 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/30/2009,11:45:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/30/2009,11:45:43 PM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/30/2009,5:34:45 PM,LoadPerf,Information,None,1000,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data contains the new index values assigned to this service.
10/30/2009,5:34:45 PM,LoadPerf,Information,None,1001,N/A,ALPHA,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
10/30/2009,5:31:00 PM,SceCli,Information,None,1704,N/A,ALPHA,Security policy in the Group policy objects has been applied successfully.
10/30/2009,5:30:59 PM,ESENT,Information,Logging/Recovery ,302,N/A,ALPHA,ntfrs (132) The database engine has successfully completed recovery steps.
10/30/2009,5:30:58 PM,ESENT,Information,Logging/Recovery ,301,N/A,ALPHA,ntfrs (132) The database engine has begun replaying logfile c:\winnt\ntfrs\jet\log\edb.log.
10/30/2009,5:30:57 PM,ESENT,Information,Logging/Recovery ,300,N/A,ALPHA,ntfrs (132) The database engine is initiating recovery steps.
10/30/2009,5:30:56 PM,ESENT,Information,General ,100,N/A,ALPHA,ntfrs (132) The database engine 5.02.3790.1830 started.
10/30/2009,5:30:44 PM,Microsoft Fax,Warning,Initialization/Termination ,32068,N/A,ALPHA,The outgoing routing rule is not valid because it cannot find a valid device. Check the routing rule configuration. Country/region code: '*' Area code: '*'
10/30/2009,5:30:44 PM,Microsoft Fax,Warning,Initialization/Termination ,32026,N/A,ALPHA,Fax Service failed to initialize any assigned fax devices. No faxes can be sent or received until a fax device is installed.
10/30/2009,5:30:43 PM,VMTools,Information,None,105,N/A,ALPHA,The service was started.
10/30/2009,5:30:43 PM,EventSystem,Information,None,4625,N/A,ALPHA,The EventSystem sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\EventSystem\EventLog.
10/30/2009,5:30:43 PM,MSDTC,Information,TM,4193,N/A,ALPHA,"MS DTC started with the following settings (OFF = 0 and ON = 1):  Security Configuration:      Network Administration of Transactions = 0,      Network Clients = 0,      Inbound Distributed Transactions using Native MSDTC Protocol = 0,      Outbound Distributed Transactions using Native MSDTC Protocol = 0,      Transaction Internet Protocol (TIP) = 0,      XA Transactions = 0  Filtering Duplicate events = 1"
10/30/2009,5:30:08 PM,ESENT,Information,General ,100,N/A,ALPHA,lsass (1352) The database engine 5.02.3790.1830 started.
10/30/2009,7:47:16 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Windows Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
10/30/2009,7:47:16 AM,LicenseService,Error,None,202,N/A,ALPHA,The product Microsoft Exchange 2000 Server is out of licenses.  Use Licensing from the Administrative Tools folder for more information on which users are out of compliance and how many licenses should be purchased.
