StarId,StarName
556527.1656,V1085 Cyg 
557550.4317,V0615 Cam 
558573.6978,V3290 Oph 
559596.9639,AI    CMi 
560620.23,V2166 Ori 
561643.4961,BU    Gru 
562666.7621,V4019 Oph 
563690.0282,HW    Tau 
564713.2943,V0394 Ser 
565736.5604,V1004 Ori 
566759.8265,IU    Mus 
567783.0926,V3031 Sgr 
568806.3587,V3418 Sgr 
569829.6247,V0786 Aur 
570852.8908,V1669 Cen 
571876.1569,V0384 CVn 
572899.423,V2622 Sgr 
573922.6891,EZ    Sco 
574945.9552,W     Hya 
575969.2213,V0436 Tau 
576992.4874,V0411 Lyr 
578015.7534,V1809 Aql 
579039.0195,PT    Gem 
580062.2856,MT    UMa 
581085.5517,V0457 Pav 
582108.8178,V1340 Aql 
583132.0839,V0563 Ori 
584155.35,KY    Com 
585178.616,V0720 Her 
586201.8821,TU    Gem 
587225.1482,LM    Cet 
588248.4143,V0891 Oph 
589271.6804,FT    Lyn 
590045,WW    Oph 
590056,AB    Oph 
590294.9465,V0395 Oph 
590616,V0616 Oph 
591318.2126,V1196 Tau 
591845,V1845 Oph 
592120,V2120 Oph 
592341.4787,V1841 Cen 
593172,V3172 Oph 
593364.7447,HU    Ser 
594388.0108,V5331 Sgr 
595411.2769,V0801 Aql 
596434.543,V0984 Ara 
597457.8091,II    Sgr 
598481.0752,DR    Ara 
599504.3413,V0516 CrA 
600055,AA    Ori 
600527.6073,V2950 Sgr 
600947,V0947 Ori 
601550.8734,V0627 CrA 
601691,V1691 Ori 
601753,V1753 Ori 
602477,V2477 Ori 
602574.1395,AA    Ara 
603597.4056,V0829 Lac 
604620.6717,V0990 Tau 
605643.9378,V1545 Cyg 
606667.2039,V2280 Sgr 
607690.47,XY    Hya 
608713.736,V0411 Tau 
609737.0021,V1667 Oph 
610327,QS    Pav 
610355,V0355 Pav 
610760.2682,V0710 Cyg 
611783.5343,V2419 Cyg 
612806.8004,V2223 Sgr 
613830.0665,V1451 Aql 
614853.3326,V0439 Pup 
615876.5986,V0419 Boo 
616899.8647,DZ    Cep 
617923.1308,V4680 Sgr 
618946.3969,LT    Psc 
619969.663,V0528 Ser 
620562,V0562 Peg 
620992.9291,V0571 Sco 
622016.1952,V0845 Per 
623039.4613,V0340 Sct 
624062.7273,V1662 Sco 
625085.9934,V0844 Oph 
626109.2595,V0425 Sgr 
627132.5256,CW    Tau 
628155.7917,V1290 Her 
629179.0578,V0590 Hya 
630202.3239,BB    Sco 
631225.5899,V0557 Cen 
632248.856,V3961 Sgr 
633272.1221,LZ    Cam 
634295.3882,AI    For 
635318.6543,V0792 Cas 
636341.9204,V0558 Ara 
637365.1865,V5133 Sgr 
638388.4526,NT    Cyg 
639411.7186,V0617 Peg 
640434.9847,TW    Vir 
641458.2508,V2790 Sgr 
642481.5169,V3857 Oph 
643504.783,NN    Lup 
644528.0491,NO    Cam 
645551.3152,ups   Sgr 
646574.5812,HQ    Cet 
647597.8473,NV    TrA 
648621.1134,SZ    Crv 
649644.3795,V2054 Sgr 
650667.6456,PQ    Mon 
651690.9117,V1636 Cen 
652714.1778,NX    Cnc 
653737.4439,FS    Dra 
654760.7099,V0387 Gem 
655783.976,V2381 Oph 
656807.2421,HL    Lac 
657830.5082,V0585 Vir 
658853.7743,V1732 Cen 
659877.0404,MQ    Lyn 
660900.3065,CK    Lac 
661923.5725,WY    Lup 
662946.8386,V0471 Lac 
663970.1047,V4140 Sgr 
664993.3708,V0632 Car 
666016.6369,CG    Ser 
667039.903,BO    Lac 
668063.1691,V0594 Lyr 
669086.4352,V0362 Ara 
670109.7012,V0495 Gem 
671132.9673,V2801 Sgr 
672156.2334,KU    TrA 
673179.4995,UW    Lep 
674202.7656,V4711 Sgr 
675226.0317,V2890 Cyg 
676249.2978,ST    CMi 
677272.5638,V1123 Cas 
678295.8299,V4013 Sgr 
679319.096,V3142 Sgr 
680081,BC    Pup 
680342.3621,V1378 Cen 
680386,V0386 Pup 
681365.6282,GK    Pav 
682388.8943,V0635 And 
683412.1604,V1793 Ori 
684435.4265,V1352 Sco 
685458.6925,V1524 Her 
686481.9586,V0506 Tel 
687505.2247,V2728 Ori 
688528.4908,V0680 Lyr 
689551.7569,V1123 Aql 
690575.023,V0465 Vir 
691598.2891,V4097 Oph 
692621.5551,V4709 Sgr 
693644.8212,PW    Ser 
694668.0873,DW    Her 
695691.3534,V0356 Gem 
696714.6195,V0714 CrA 
697737.8856,V1305 Cen 
698761.1517,V1048 Ara 
699784.4178,WZ    Car 
700807.6838,FS    Cap 
701830.9499,CN    Cap 
702854.216,V0526 Aql 
703877.4821,MS    Cep 
704900.7482,DD    Lyr 
705924.0143,V0944 Cen 
706947.2804,V2553 Sgr 
707970.5464,V0484 Nor 
708993.8125,SW    CVn 
710004,U     Sge 
710017.0786,V0433 UMa 
711040.3447,V2661 Sgr 
712063.6108,KS    Del 
713086.8769,V2755 Ori 
714110.143,PS    Tel 
715133.4091,V1786 Oph 
716156.6751,AQ    Aur 
717179.9412,MW    Com 
718203.2073,V0455 CrA 
719226.4734,V1550 Oph 
720006,W     Sgr 
720126,CZ    Sgr 
720249.7395,LS    Lac 
720682,V0682 Sgr 
721044,V1044 Sgr 
721273.0056,V0629 Lac 
722214,V2214 Sgr 
722296.2717,PS    Gem 
722497,V2497 Sgr 
723319.5377,XZ    Hyi 
724342.8038,V4706 Sgr 
725191,V5191 Sgr 
725297,V5297 Sgr 
725366.0699,PX    Cyg 
725376,V5376 Sgr 
725729,V5729 Sgr 
726079,V6079 Sgr 
726389.336,V0379 Cen 
727412.6021,V0670 Lyr 
728435.8682,V0880 Sgr 
729459.1343,V0592 Dra 
730482.4004,V0613 Peg 
731029,V1029 Sco 
731505.6664,V4811 Sgr 
732528.9325,BC    Cen 
733552.1986,V5952 Sgr 
734575.4647,V0373 Hya 
735598.7308,V2436 Sgr 
736621.9969,V0798 Oph 
737645.263,V1562 Sgr 
738668.529,V6004 Sgr 
739691.7951,V0399 Pup 
740044,VZ    Scl 
740715.0612,V0889 Cas 
741738.3273,V3004 Oph 
742761.5934,V0388 Tel 
743784.8595,AA    And 
744808.1256,V2665 Oph 
745831.3917,Z     Sco 
746854.6577,V0364 Aqr 
747877.9238,HL    Cas 
748901.1899,IO    Vir 
749924.456,V0389 UMa 
750095,BR    Sct 
750947.7221,NZ    Cep 
751970.9882,HV    Her 
752994.2543,V0732 Car 
754017.5203,V4332 Oph 
755040.7864,V4658 Sgr 
756064.0525,OS    Nor 
757087.3186,V0350 Nor 
758110.5847,EH    Tuc 
759133.8508,V0688 CrA 
760157.1169,V1526 Cyg 
761180.383,V0835 Oph 
762203.649,VY    Lac 
763226.9151,IN    Leo 
764250.1812,TV    Aps 
765273.4473,V1191 Oph 
766296.7134,V2610 Sgr 
767319.9795,V6416 Sgr 
768343.2456,V3354 Oph 
769366.5116,BO    Boo 
770389.7777,OV    Hya 
771413.0438,V1162 Ori 
772436.3099,V0404 Dra 
773459.576,YY    Mon 
774482.8421,V0634 Ser 
775506.1082,V2362 Oph 
776529.3743,FX    Cap 
777552.6403,W     Nor 
778575.9064,V1507 Sco 
779599.1725,V1437 Sco 
780087,BI    Tau 
780622.4386,V0694 Peg 
780679,V0679 Tau 
780839,V0839 Tau 
781225,V1225 Tau 
781645.7047,V1287 Sgr 
782668.9708,V1027 Aql 
783692.2369,SY    Nor 
784715.5029,BT    Cen 
785738.769,AC    Lep 
786762.0351,V0345 Vel 
787785.3012,V0656 Sct 
788808.5673,XY    Lac 
789831.8334,MO    Dra 
790855.0995,V0939 Per 
791878.3656,V5927 Sgr 
792901.6316,BY    Sge 
793924.8977,V0518 Cas 
794948.1638,V0359 Cam 
795971.4299,V0454 Her 
796994.696,BZ    Vel 
798017.9621,V0497 Hya 
799041.2282,FM    Aql 
800064.4942,V1098 Ori 
801087.7603,MT    Vul 
802111.0264,V0484 Peg 
803134.2925,AS    CMa 
804157.5586,V0374 Ara 
805180.8247,V0371 Aql 
806204.0908,V0650 Sco 
807227.3569,V1368 Cyg 
808250.6229,V0449 Mon 
809273.889,OZ    UMa 
810297.1551,V0979 Cyg 
811320.4212,V0659 Car 
812343.6873,V0673 Lyr 
813366.9534,V2709 Cyg 
814390.2195,BF    Mic 
815413.4855,NZ    Com 
816436.7516,DT    Sco 
817460.0177,V1099 Sgr 
818483.2838,GT    Oph 
819506.5499,V1850 Sgr 
820529.816,CS    CMi 
821553.0821,GG    Cen 
822576.3481,BY    Lyr 
823599.6142,V1640 Cyg 
824622.8803,V1464 Cen 
825646.1464,V0456 Pav 
826669.4125,FK    Aql 
827692.6786,V0565 Car 
828715.9447,FK    Sct 
829739.2108,V0639 Aql 
830322,PX    UMa 
830762.4768,V0633 Aur 
831785.7429,V0735 CrA 
832809.009,EL    Leo 
833832.2751,XZ    Aql 
834855.5412,V0631 Cen 
835878.8073,V0587 Sct 
836902.0734,V5078 Sgr 
837925.3394,V4062 Oph 
838948.6055,S     Sct 
839971.8716,ER    Lib 
840995.1377,V2851 Oph 
842018.4038,AV    Cet 
843041.6699,V0904 Her 
844064.936,V0387 Ori 
845088.2021,V6457 Sgr 
846111.4681,PR    UMa 
847134.7342,EP    TrA 
848158.0003,V1674 Ori 
849181.2664,V0937 Mon 
850204.5325,AF    Ind 
851227.7986,V5514 Sgr 
852251.0647,V1550 Cen 
853274.3307,V0439 Tau 
854297.5968,CY    Mon 
855320.8629,V0865 Ara 
856344.129,LR    Aur 
857367.3951,V0791 Cep 
858390.6612,ER    Car 
859413.9273,FQ    Hya 
860213,HM    Vir 
860269,LU    Vir 
860280,MR    Vir 
860437.1934,CO    Lep 
860503,V0503 Vir 
861460.4594,GS    UMa 
862483.7255,V5028 Sgr 
863506.9916,V0937 Sco 
864530.2577,AV    Lyr 
865553.5238,V1329 Her 
866576.7899,V2036 Oph 
867600.056,LL    Pav 
868623.322,HY    Boo 
869646.5881,V0989 Cas 
870669.8542,V1811 Cen 
871693.1203,V1283 Aql 
872716.3864,V3039 Sgr 
873739.6525,RZ    Cam 
874762.9186,V1106 Tau 
875786.1847,V1690 Sco 
876809.4507,UY    Lep 
877832.7168,IY    Per 
878855.9829,V3351 Oph 
879879.249,HP    Sgr 
880028,TU    Vul 
880205,GW    Vul 
880535,V0535 Vul 
880902.5151,BR    Ser 
881925.7812,V1190 Ori 
882949.0473,V0900 Sco 
883972.3133,KT    Ser 
884995.5794,V2186 Sgr 
886018.8455,V1567 Cen 
887042.1116,V0436 Pav 
888065.3777,SV    Aqr 
889088.6438,V0615 Cas 
890111.9099,V0819 Ori 
891135.176,PZ    CrA 
892158.442,TX    Lib 
893181.7081,V0450 UMa 
894204.9742,V0581 Mon 
895228.2403,LV    Sge 
896251.5064,V0470 Mon 
897274.7725,V1738 Ori 
898298.0386,V0536 Lac 
899321.3046,V0778 Tau 
900344.5707,V0454 Aqr 
901367.8368,AZ    Nor 
902391.1029,UZ    Vir 
903414.369,V2621 Cyg 
904437.6351,V1714 Oph 
905460.9012,V0794 Her 
906484.1673,V0577 Cep 
907507.4333,V2374 Sgr 
908530.6994,V0612 Ara 
909553.9655,DR    Boo 
910577.2316,V1030 Tau 
911600.4977,V1524 Cyg 
912623.7638,HO    Pav 
913647.0299,LY    Cam 
914670.2959,V3217 Sgr 
915693.562,omi   Aqr 
916716.8281,NO    Aqr 
917740.0942,V0779 Sco 
918763.3603,AO    Del 
919786.6264,V1479 Sgr 
920809.8925,V1919 Cyg 
921833.1586,AL    Ari 
922856.4246,RR    Hya 
923879.6907,V1869 Ori 
924902.9568,V0504 Aql 
925926.2229,V5532 Sgr 
926949.489,KV    Ori 
927972.7551,V1326 Oph 
928996.0212,V0723 Lyr 
930019.2872,V0738 Sgr 
931042.5533,IO    Vul 
932065.8194,FK    Tel 
933089.0855,V2530 Sgr 
934112.3516,V1583 Ori 
935135.6177,FM    Eri 
936158.8838,V0528 Cas 
937182.1499,SS    LMi 
938205.4159,V0535 Hya 
939228.682,V1986 Oph 
940251.9481,BL    Dra 
941275.2142,V1264 Cyg 
942298.4803,V2777 Cyg 
943321.7464,HX    TrA 
944345.0125,V0760 Lac 
945368.2785,V0831 Cep 
946391.5446,V0520 Her 
947414.8107,V0699 Aql 
948438.0768,LO    Oph 
949461.3429,V4069 Oph 
950484.609,VZ    CMa 
951507.8751,AR    For 
952531.1412,V3616 Sgr 
953554.4072,V0434 Lup 
954577.6733,AF    Vir 
955600.9394,IO    Pav 
956624.2055,V0716 Lyr 
957647.4716,V0433 Per 
958670.7377,PU    CrA 
959694.0038,V0524 Mon 
960717.2698,AE    CrA 
961740.5359,V1112 Sco 
962763.802,EV    Cha
963787.0681,V5597 Sgr 
964810.3342,TZ    Sco 
965833.6003,V1183 Ori 
966856.8664,V0693 Lac 
967880.1325,V3383 Oph 
968903.3985,V5550 Sgr 
969926.6646,TU    Vol 
970949.9307,V4523 Sgr 
971973.1968,V1110 Ori 
972996.4629,GW    Vir 
974019.729,V1498 Cen 
975042.9951,V0374 Sct 
976066.2611,V1078 Oph 
977089.5272,V0496 Sgr 
978112.7933,MQ    Lib 
979136.0594,V2373 Cyg 
980159.3255,AO    CrB 
981182.5916,CU    Cas 
982205.8577,V0441 Boo 
983229.1238,V0525 Per 
984252.3898,BU    Vel 
985275.6559,V2826 Sgr 
986298.922,V0611 Sco 
987322.1881,ET    Gem 
988345.4542,V1064 Ara 
989368.7203,UU    Col 
990391.9864,V3965 Oph 
991415.2524,V0765 Cyg 
992438.5185,V0351 Lyr 
993461.7846,OU    Mus 
994485.0507,V0718 Peg 
995508.3168,V0745 Cep 
996531.5829,V3483 Oph 
997554.849,V0685 Peg 
998578.1151,V1619 Aql 
999601.3811,V3716 Oph 
1000624.647,MS    Aps 
1001647.913,RW    Boo 
1002671.179,V0445 Aqr 
1003694.445,V0383 Cam 
1004717.712,V3464 Oph 
1005740.978,AR    Ori 
1006764.244,V1168 Cen 
1007787.51,V3914 Sgr 
1008810.776,V0483 Pup 
1009834.042,CW    CrA 
1010857.308,V0361 Ori 
1011880.574,WW    Crv 
1012903.84,DH    Mus 
1013927.106,V0749 Sgr 
1014950.372,V0878 Cep 
1015973.639,RS    Aur 
1016996.905,S     Her 
1018020.171,V0868 Per 
1019043.437,IV    Mus 
1020066.703,V6540 Sgr 
1021089.969,V5412 Sgr 
1022113.235,V1027 Cep 
1023136.501,QT    Leo 
1024159.767,AZ    Vir 
1025183.033,V1497 Cen 
1026206.299,V0693 Pup 
1027229.565,IX    Cep 
1028252.832,V0658 And 
1029276.098,V6420 Sgr 
1030299.364,V1883 Sgr 
1031322.63,V0727 Her 
1032345.896,V1325 Cen 
1033369.162,V0727 Car 
1034392.428,CK    Hyi 
1035415.694,DP    Hyi 
1036438.96,V1459 Sco 
1037462.226,V3548 Sgr 
1038485.492,AM    Eri 
1039508.759,V0860 Ori 
1040532.025,V0467 CrA 
1041555.291,V1305 Her 
1042578.557,AP    Mus 
1043601.823,V0441 Cam 
1044625.089,AP    Dra 
1045648.355,V0387 Mon 
1046671.621,V1706 Ori 
1047694.887,V1005 Sgr 
1048718.153,AY    Cha
1049741.419,BV    Lac 
1050764.685,V0472 Mon 
1051787.952,V2618 Cyg 
1052811.218,EM    Sct 
1053834.484,V0448 Gem 
1054857.75,V1242 Oph 
1055881.016,V0726 Cyg 
1056904.282,V1569 Sco 
1057927.548,V0686 Her 
1058950.814,V0712 Peg 
1059974.08,V5605 Sgr 
1060997.346,AY    Cap 
1062020.612,DW    And 
1063043.879,PR    Gem 
1064067.145,V0345 Lyr 
1065090.411,DH    Boo 
1066113.677,V4980 Sgr 
1067136.943,V0498 Cen 
1068160.209,V2690 Oph 
1069183.475,V5820 Sgr 
1070206.741,MR    Cas 
1071230.007,V0580 Cam 
1072253.273,AQ    Hyi 
1073276.539,V3132 Oph 
1074299.805,V1555 Cyg 
1075323.072,V0728 CrA 
1076346.338,EE    Cas 
1077369.604,V6574 Sgr 
1078392.87,S     Ari 
1079416.136,V3028 Cyg 
1080439.402,EZ    Tel 
1081462.668,HH    Ara 
1082485.934,EI    Nor 
1083509.2,CC    Tau 
1084532.466,YY    Sgr 
1085555.732,V2607 Cyg 
1086578.999,AA    Crt 
1087602.265,S     Lyr 
1088625.531,V0866 Mon 
1089648.797,II    Psc 
1090672.063,KQ    Lyr 
1091695.329,V1215 Sco 
1092718.595,V5315 Sgr 
1093741.861,BU    Lac 
1094765.127,V0457 Vel 
1095788.393,V0463 UMa 
1096811.659,V3884 Oph 
1097834.925,V1365 Cas 
1098858.192,V1039 Cen 
1099881.458,KN    Boo 
1100904.724,OX    Cas 
1101927.99,V1147 Sco 
1102951.256,V3054 Sgr 
1103974.522,V0786 Car 
1104997.788,V1472 Sgr 
1106021.054,BD    Ari 
1107044.32,V1527 Sgr 
1108067.586,GT    Aps 
1109090.852,V3837 Sgr 
1110114.118,V0652 And 
1111137.385,V0401 Cyg 
1112160.651,V0709 Aur 
1113183.917,IQ    Cha
1114207.183,KK    Car 
1115230.449,V0534 And 
1116253.715,V0385 Lup 
1117276.981,TX    Vol 
1118300.247,V1248 Her 
1119323.513,MR    Leo 
1120346.779,BX    Cen 
1121370.045,EY    Sge 
1122393.312,MM    Tel 
1123416.578,KU    Oph 
1124439.844,V1344 Sco 
1125463.11,V1861 Sgr 
1126486.376,V0605 Mon 
1127509.642,V0476 Ara 
1128532.908,V2144 Ori 
1129556.174,PT    Aql 
1130579.44,LU    Mus 
1131602.706,BC    Men 
1132625.972,FV    Lib 
1133649.238,V2145 Cyg 
1134672.505,V1495 Aql 
1135695.771,V0629 Vir 
1136719.037,V1021 Cep 
1137742.303,V0560 Dra 
1138765.569,X     CrA 
1139788.835,V0529 Sco 
1140812.101,V2726 Ori 
1141835.367,UW    Pic 
1142858.633,V0670 Her 
1143881.899,V1385 Sgr 
1144905.165,V0701 Peg 
1145928.432,PP    Cas 
1146951.698,VZ    Sct 
1147974.964,WW    Sco 
1148998.23,V1558 Ori 
1150021.496,V0614 Cen 
1151044.762,V0631 Pup 
1152068.028,AB    Eri 
1153091.294,V0727 Aql 
1154114.56,V2986 Cyg 
1155137.826,CN    Ari 
1156161.092,QZ    Sct 
1157184.358,V3872 Sgr 
1158207.625,V1191 Sco 
1159230.891,V0408 Ori 
1160254.157,V0924 Ori 
1161277.423,OO    Aqr 
1162300.689,CC    Tri 
1163323.955,V0341 Com 
1164347.221,QX    Sgr 
1165370.487,V0374 Mus 
1166393.753,V0429 Gem 
1167417.019,HV    Com 
1168440.285,GY    Hya 
1169463.552,V1381 Cen 
1170486.818,V2405 Oph 
1171510.084,AZ    Gem 
1172533.35,V0578 Sgr 
1173556.616,V0446 Ser 
1174579.882,V0538 Hya 
1175603.148,CC    Phe 
1176626.414,V4795 Sgr 
1177649.68,V2802 Cyg 
1178672.946,V0545 Cam 
1179696.212,V0367 Sge 
1180719.478,AG    Eri 
1181742.745,V6445 Sgr 
1182766.011,V4329 Sgr 
1183789.277,NP    Dra 
1184812.543,V1675 Cyg 
1185835.809,V0726 Ori 
1186859.075,V1969 Oph 
1187882.341,V0903 Car 
1188905.607,ST    Peg 
1189928.873,X     PsA 
1190952.139,V0453 Cyg 
1191975.405,V0470 Tel 
1192998.672,V1265 Ori 
1194021.938,V0459 Her 
1195045.204,V0727 Peg 
1196068.47,V2206 Ori 
1197091.736,V1035 Sco 
1198115.002,V2651 Oph 
1199138.268,V4925 Sgr 
1200161.534,V1033 Ori 
1201184.8,GR    Aps 
1202208.066,RW    Aql 
1203231.332,GP    Lac 
1204254.598,V0683 Cep 
1205277.865,V1891 Sgr 
1206301.131,V0518 Vir 
1207324.397,HL    TrA 
1208347.663,V2878 Sgr 
1209370.929,V1103 Ara 
1210394.195,V0355 TrA 
1211417.461,V2158 Cyg 
1212440.727,V0965 Sco 
1213463.993,V0914 Car 
1214487.259,SW    Aps 
1215510.525,V2446 Sgr 
1216533.792,pi.   Aur 
1217557.058,V1682 Sco 
1218580.324,RZ    Mon 
1219603.59,V0487 Her 
1220626.856,V0407 Boo 
1221650.122,V0740 Her 
1222673.388,AR    Cha
1223696.654,BY    Vul 
1224719.92,V4243 Oph 
1225743.186,DM    Hya 
1226766.452,HQ    Ara 
1227789.718,AV    Ind 
1228812.985,V3858 Sgr 
1229836.251,V1148 Sco 
1230859.517,AH    Sge 
1231882.783,V0593 Cyg 
1232906.049,AT    Mus 
1233929.315,DH    CVn 
1234952.581,FN    Aql 
1235975.847,IS    Gem 
1236999.113,UX    Scl 
1238022.379,LN    TrA 
1239045.645,V2986 Oph 
1240068.912,DO    UMa 
1241092.178,V0803 Tau 
1242115.444,V0413 Mon 
1243138.71,V2736 Cyg 
1244161.976,V0895 Per 
1245185.242,V4915 Sgr 
1246208.508,CQ    Vel 
1247231.774,V2044 Ori 
1248255.04,NZ    CMa 
1249278.306,V1749 Sgr 
1250301.572,V0845 Cas 
1251324.838,V0782 Per 
1252348.105,V0798 And 
1253371.371,RR    Lyn 
1254394.637,V0531 Per 
1255417.903,V2852 Oph 
1256441.169,MT    CVn 
1257464.435,CP    Cen 
1258487.701,V2152 Cyg 
1259510.967,BS    Psc 
1260534.233,V1683 Aql 
1261557.499,V2583 Oph 
1262580.765,V0438 CVn 
1263604.031,BC    Eri 
1264627.298,V0849 Sgr 
1265650.564,V0593 Tau 
1266673.83,FP    Sgr 
1267697.096,V4503 Sgr 
1268720.362,V0343 Car 
1269743.628,NR    Aps 
1270766.894,V0681 Ori 
1271790.16,OU    Lup 
1272813.426,GT    Mus 
1273836.692,V4309 Sgr 
1274859.958,RV    Cru 
1275883.225,V1644 Oph 
1276906.491,ZZ    Her 
1277929.757,V2738 Oph 
1278953.023,V5660 Sgr 
1279976.289,LT    Boo 
1280999.555,V0715 Per 
1282022.821,V0373 CrA 
1283046.087,V1761 Cyg 
1284069.353,V2615 Oph 
1285092.619,SU    Crv 
1286115.885,V0897 Car 
1287139.151,V1673 Ori 
1288162.418,V0364 Car 
1289185.684,V0380 Mus 
1290208.95,DR    Lyn 
1291232.216,V1895 Cyg 
1292255.482,V1929 Ori 
1293278.748,AI    Aps 
1294302.014,UZ    Peg 
1295325.28,V6512 Sgr 
1296348.546,V1366 Sco 
1297371.812,V0424 CMa 
1298395.078,V0376 Vel 
1299418.345,AI    Ari 
1300441.611,V0338 Vul 
1301464.877,V2875 Cyg 
1302488.143,SY    Col 
1303511.409,KZ    Nor 
1304534.675,V1257 Ori 
1305557.941,V0437 Pav 
1306581.207,V5378 Sgr 
1307604.473,BZ    Tri 
1308627.739,V0767 Peg 
1309651.005,V0345 TrA 
1310674.271,V0787 Cen 
1311697.538,V1057 Ara 
1312720.804,V0827 Her 
1313744.07,LO    Mon 
1314767.336,V6422 Sgr 
1315790.602,V0341 Tau 
1316813.868,RY    Pup 
1317837.134,TY    Ind 
1318860.4,V0335 CMa 
1319883.666,LW    Lac 
1320906.932,V0427 UMa 
1321930.198,XX    Aqr 
1322953.465,V0372 Ori 
1323976.731,V2529 Oph 
1324999.997,V0597 Lyr 
1326023.263,V0521 Hya 
1327046.529,VX    CrA 
1328069.795,V0494 Lyr 
1329093.061,zet   Cha
1330116.327,RZ    Vel 
1331139.593,V1301 Aql 
1332162.859,KU    CVn 
1333186.125,V5473 Sgr 
1334209.391,V2485 Ori 
1335232.658,RR    Mic 
1336255.924,V2711 Oph 
1337279.19,V0364 Per 
1338302.456,DY    Sgr 
1339325.722,V2027 Oph 
1340348.988,V0426 Aps 
1341372.254,UU    Vol 
1342395.52,V3997 Oph 
1343418.786,V1778 Cyg 
1344442.052,V1570 Cen 
1345465.318,V4053 Oph 
1346488.585,V0785 Oph 
1347511.851,V3107 Oph 
1348535.117,V1288 Oph 
1349558.383,V2046 Cyg 
1350581.649,RS    Per 
1351604.915,V0902 Oph 
1352628.181,LU    Sgr 
1353651.447,AP    Lep 
1354674.713,V0737 Per 
1355697.979,V4388 Sgr 
1356721.245,V2331 Ori 
1357744.511,KT    Mus 
1358767.778,V5146 Sgr 
1359791.044,EO    Cep 
1360814.31,V2016 Cyg 
1361837.576,V3039 Oph 
1362860.842,V0351 Her 
1363884.108,V0846 Sco 
1364907.374,OV    Sgr 
1365930.64,V1841 Oph 
1366953.906,PW    Her 
1367977.172,V0370 Car 
1369000.438,V3626 Oph 
1370023.705,V0679 And 
1371046.971,XY    Boo 
1372070.237,V0754 Cas 
1373093.503,RS    Aps 
1374116.769,V0416 Com 
1375140.035,DF    Her 
1376163.301,V6134 Sgr 
1377186.567,V0519 Aqr 
1378209.833,GX    Per 
1379233.099,DU    Tau 
1380256.365,NT    Ser 
1381279.631,V0418 Dra 
1382302.898,DN    Scl 
1383326.164,V0455 Nor 
1384349.43,V3747 Sgr 
1385372.696,GN    Ser 
1386395.962,CV    Cap 
1387419.228,CX    CrA 
1388442.494,V0422 CMa 
1389465.76,V0410 Pup 
1390489.026,VV    Mus 
1391512.292,GR    Cha
1392535.558,V0413 Peg 
1393558.824,DM    Aps 
1394582.091,V3133 Sgr 
1395605.357,V0622 Aur 
